id,symbol,date,prediction
38283,CARDS,2026-09-21,0.04833333333333333
3822,TFUEL,2026-09-21,0.7383333333333333
6748,CFG,2026-09-21,0.13833333333333334
21707,RED,2026-09-21,0.29833333333333334
34118,BANANAS31,2026-09-21,0.6816666666666666
20964,LBT,2026-09-21,0.755
34926,ARC,2026-09-21,0.5416666666666666
37166,ONE,2026-09-21,0.051666666666666666
39682,PROS,2026-09-21,0.505
29587,W,2026-09-21,0.325
4846,KAVA,2026-09-21,0.475
24647,BERA,2026-09-21,0.295
5350,XPR,2026-09-21,0.6516666666666666
10407,BabyDoge,2026-09-21,0.8616666666666667
40224,RE,2026-09-21,0.23166666666666666
34332,PURR,2026-09-21,0.12166666666666667
1757,FUN,2026-09-21,0.17833333333333334
2682,HOT,2026-09-21,0.935
6758,SUSHI,2026-09-21,0.5183333333333333
2469,ZIL,2026-09-21,0.30833333333333335
29870,BOME,2026-09-21,0.155
35626,DATA,2026-09-21,0.35833333333333334
24911,TURBO,2026-09-21,0.7516666666666667
36044,NXPC,2026-09-21,0.6216666666666667
34812,BIO,2026-09-21,0.615
32120,G,2026-09-21,0.045
40531,CAP,2026-09-21,0.021666666666666667
3012,VTHO,2026-09-21,0.055
9260,ZIG,2026-09-21,0.25833333333333336
1732,NMR,2026-09-21,0.955
33881,BAN,2026-09-21,0.6716666666666666
40588,ANSEM,2026-09-21,0.03166666666666667
36569,SPK,2026-09-21,0.5383333333333333
17799,AXL,2026-09-21,0.5483333333333333
35268,GPS,2026-09-21,0.425
39965,NEX,2026-09-21,0.185
4948,CKB,2026-09-21,0.605
27657,LINEA,2026-09-21,0.7916666666666666
3661,SHX,2026-09-21,0.495
7653,ROSE,2026-09-21,0.49833333333333335
19075,OMI,2026-09-21,0.4583333333333333
5198,CTC,2026-09-21,0.42833333333333334
12885,ASTR,2026-09-21,0.5683333333333334
38489,COAI,2026-09-21,0.695
29835,IO,2026-09-21,0.5116666666666667
6958,ACH,2026-09-21,0.7183333333333334
37387,BAS,2026-09-21,0.2816666666666667
29743,BRETT,2026-09-21,0.47833333333333333
12147,SYN,2026-09-21,0.008333333333333333
23121,BLUR,2026-09-21,0.5216666666666666
3871,AB,2026-09-21,0.145
5567,CELO,2026-09-21,0.7216666666666667
17751,T,2026-09-21,0.18833333333333332
29169,QUBIC,2026-09-21,0.4816666666666667
32198,BABY,2026-09-21,0.6283333333333333
35537,JELLYJELLY,2026-09-21,0.8016666666666666
2130,ENJ,2026-09-21,0.7716666666666666
2566,ONT,2026-09-21,0.5583333333333333
36313,TROLL,2026-09-21,0.245
33788,PNUT,2026-09-21,0.5716666666666667
4558,FLOW,2026-09-21,0.535
20362,POLYX,2026-09-21,0.6983333333333334
21846,ID,2026-09-21,0.6616666666666666
28782,POPCAT,2026-09-21,0.4083333333333333
37637,SOMI,2026-09-21,0.115
38967,RAVE,2026-09-21,0.39166666666666666
7288,XVS,2026-09-21,0.945
1042,SC,2026-09-21,0.15166666666666667
28688,AIAT,2026-09-21,0.6416666666666667
29073,ALT,2026-09-21,0.7016666666666667
4944,TRB,2026-09-21,0.675
